;;transect	Cell	left	top	right	bottom
1	0	0	108	0	0
1	1	1	108	26	0
1	2	27	108	56	0
1	3	57	108	61	0
1	4	62	108	71	0
1	5	72	108	81	0
1	6	82	108	91	0
1	7	92	108	101	0
1	8	102	108	111	0
1	9	112	108	121	0
1	10	122	108	131	0
1	11	132	108	136	0
1	12	137	108	137	0
1	13	138	108	160	0
1	14	161	108	198	0
2	15	0	238	48	109
2	16	49	238	50	109
2	17	51	238	56	109
2	18	57	238	61	109
2	19	62	238	71	109
2	20	72	238	81	109
2	21	82	238	91	109
2	22	92	238	101	109
2	23	102	238	106	109
2	24	107	238	151	109
2	25	152	238	198	109
3	26	0	408	48	239
3	27	49	408	50	239
3	28	51	408	56	239
3	29	57	408	61	239
3	30	62	408	71	239
3	31	72	408	81	239
3	32	82	408	91	239
3	33	92	408	101	239
3	34	102	408	106	239
3	35	107	408	151	239
3	36	152	408	198	239
4	37	0	508	22	409
4	38	23	508	40	409
4	39	41	508	41	409
4	40	42	508	56	409
4	41	57	508	61	409
4	42	62	508	71	409
4	43	72	508	81	409
4	44	82	508	91	409
4	45	92	508	101	409
4	46	102	508	111	409
4	47	112	508	116	409
4	48	117	508	137	409
4	49	138	508	138	409
4	50	139	508	168	409
4	51	169	508	198	409
5	52	0	618	0	509
5	53	1	618	26	509
5	54	27	618	56	509
5	55	57	618	61	509
5	56	62	618	71	509
5	57	72	618	81	509
5	58	82	618	91	509
5	59	92	618	101	509
5	60	102	618	111	509
5	61	112	618	121	509
5	62	122	618	131	509
5	63	132	618	136	509
5	64	137	618	137	509
5	65	138	618	160	509
5	66	161	618	198	509
6	67	0	748	48	619
6	68	49	748	50	619
6	69	51	748	56	619
6	70	57	748	61	619
6	71	62	748	71	619
6	72	72	748	81	619
6	73	82	748	91	619
6	74	92	748	101	619
6	75	102	748	106	619
6	76	107	748	151	619
6	77	152	748	198	619
7	78	0	918	48	749
7	79	49	918	50	749
7	80	51	918	56	749
7	81	57	918	61	749
7	82	62	918	71	749
7	83	72	918	81	749
7	84	82	918	91	749
7	85	92	918	101	749
7	86	102	918	106	749
7	87	107	918	151	749
7	88	152	918	198	749
8	89	0	1018	22	919
8	90	23	1018	40	919
8	91	41	1018	41	919
8	92	42	1018	56	919
8	93	57	1018	61	919
8	94	62	1018	71	919
8	95	72	1018	81	919
8	96	82	1018	91	919
8	97	92	1018	101	919
8	98	102	1018	111	919
8	99	112	1018	116	919
8	100	117	1018	137	919
8	101	138	1018	138	919
8	102	139	1018	168	919
8	103	169	1018	198	919
9	104	0	1126	0	1019
9	105	1	1126	26	1019
9	106	27	1126	56	1019
9	107	57	1126	61	1019
9	108	62	1126	71	1019
9	109	72	1126	81	1019
9	110	82	1126	91	1019
9	111	92	1126	101	1019
9	112	102	1126	111	1019
9	113	112	1126	121	1019
9	114	122	1126	131	1019
9	115	132	1126	136	1019
9	116	137	1126	137	1019
9	117	138	1126	160	1019
9	118	161	1126	198	1019
10	119	0	1256	48	1127
10	120	49	1256	50	1127
10	121	51	1256	56	1127
10	122	57	1256	61	1127
10	123	62	1256	71	1127
10	124	72	1256	81	1127
10	125	82	1256	91	1127
10	126	92	1256	101	1127
10	127	102	1256	106	1127
10	128	107	1256	151	1127
10	129	152	1256	198	1127
11	130	0	1426	48	1257
11	131	49	1426	50	1257
11	132	51	1426	56	1257
11	133	57	1426	61	1257
11	134	62	1426	71	1257
11	135	72	1426	81	1257
11	136	82	1426	91	1257
11	137	92	1426	101	1257
11	138	102	1426	106	1257
11	139	107	1426	151	1257
11	140	152	1426	198	1257
12	141	0	1526	22	1427
12	142	23	1526	40	1427
12	143	41	1526	41	1427
12	144	42	1526	56	1427
12	145	57	1526	61	1427
12	146	62	1526	71	1427
12	147	72	1526	81	1427
12	148	82	1526	91	1427
12	149	92	1526	101	1427
12	150	102	1526	111	1427
12	151	112	1526	116	1427
12	152	117	1526	137	1427
12	153	138	1526	138	1427
12	154	139	1526	168	1427
12	155	169	1526	198	1427
13	156	0	1636	0	1527
13	157	1	1636	26	1527
13	158	27	1636	56	1527
13	159	57	1636	61	1527
13	160	62	1636	71	1527
13	161	72	1636	81	1527
13	162	82	1636	91	1527
13	163	92	1636	101	1527
13	164	102	1636	111	1527
13	165	112	1636	121	1527
13	166	122	1636	131	1527
13	167	132	1636	136	1527
13	168	137	1636	137	1527
13	169	138	1636	160	1527
13	170	161	1636	198	1527
14	171	0	1766	48	1637
14	172	49	1766	50	1637
14	173	51	1766	56	1637
14	174	57	1766	61	1637
14	175	62	1766	71	1637
14	176	72	1766	81	1637
14	177	82	1766	91	1637
14	178	92	1766	101	1637
14	179	102	1766	106	1637
14	180	107	1766	151	1637
14	181	152	1766	198	1637
15	182	0	1936	48	1767
15	183	49	1936	50	1767
15	184	51	1936	56	1767
15	185	57	1936	61	1767
15	186	62	1936	71	1767
15	187	72	1936	81	1767
15	188	82	1936	91	1767
15	189	92	1936	101	1767
15	190	102	1936	106	1767
15	191	107	1936	151	1767
15	192	152	1936	198	1767
16	193	0	2036	22	1937
16	194	23	2036	40	1937
16	195	41	2036	41	1937
16	196	42	2036	56	1937
16	197	57	2036	61	1937
16	198	62	2036	71	1937
16	199	72	2036	81	1937
16	200	82	2036	91	1937
16	201	92	2036	101	1937
16	202	102	2036	111	1937
16	203	112	2036	116	1937
16	204	117	2036	137	1937
16	205	138	2036	138	1937
16	206	139	2036	168	1937
16	207	169	2036	198	1937
17	208	0	2144	0	2037
17	209	1	2144	26	2037
17	210	27	2144	56	2037
17	211	57	2144	61	2037
17	212	62	2144	71	2037
17	213	72	2144	81	2037
17	214	82	2144	91	2037
17	215	92	2144	101	2037
17	216	102	2144	111	2037
17	217	112	2144	121	2037
17	218	122	2144	131	2037
17	219	132	2144	136	2037
17	220	137	2144	137	2037
17	221	138	2144	160	2037
17	222	161	2144	198	2037
18	223	0	2274	48	2145
18	224	49	2274	50	2145
18	225	51	2274	56	2145
18	226	57	2274	61	2145
18	227	62	2274	71	2145
18	228	72	2274	81	2145
18	229	82	2274	91	2145
18	230	92	2274	101	2145
18	231	102	2274	106	2145
18	232	107	2274	151	2145
18	233	152	2274	198	2145
19	234	0	2444	48	2275
19	235	49	2444	50	2275
19	236	51	2444	56	2275
19	237	57	2444	61	2275
19	238	62	2444	71	2275
19	239	72	2444	81	2275
19	240	82	2444	91	2275
19	241	92	2444	101	2275
19	242	102	2444	106	2275
19	243	107	2444	151	2275
19	244	152	2444	198	2275
20	245	0	2544	22	2445
20	246	23	2544	40	2445
20	247	41	2544	41	2445
20	248	42	2544	56	2445
20	249	57	2544	61	2445
20	250	62	2544	71	2445
20	251	72	2544	81	2445
20	252	82	2544	91	2445
20	253	92	2544	101	2445
20	254	102	2544	111	2445
20	255	112	2544	116	2445
20	256	117	2544	137	2445
20	257	138	2544	138	2445
20	258	139	2544	168	2445
20	259	169	2544	198	2445
21	260	0	2654	0	2545
21	261	1	2654	26	2545
21	262	27	2654	56	2545
21	263	57	2654	61	2545
21	264	62	2654	71	2545
21	265	72	2654	81	2545
21	266	82	2654	91	2545
21	267	92	2654	101	2545
21	268	102	2654	111	2545
21	269	112	2654	121	2545
21	270	122	2654	131	2545
21	271	132	2654	136	2545
21	272	137	2654	137	2545
21	273	138	2654	160	2545
21	274	161	2654	198	2545
22	275	0	2784	48	2655
22	276	49	2784	50	2655
22	277	51	2784	56	2655
22	278	57	2784	61	2655
22	279	62	2784	71	2655
22	280	72	2784	81	2655
22	281	82	2784	91	2655
22	282	92	2784	101	2655
22	283	102	2784	106	2655
22	284	107	2784	151	2655
22	285	152	2784	198	2655
23	286	0	2954	48	2785
23	287	49	2954	50	2785
23	288	51	2954	56	2785
23	289	57	2954	61	2785
23	290	62	2954	71	2785
23	291	72	2954	81	2785
23	292	82	2954	91	2785
23	293	92	2954	101	2785
23	294	102	2954	106	2785
23	295	107	2954	151	2785
23	296	152	2954	198	2785
24	297	0	3054	22	2955
24	298	23	3054	40	2955
24	299	41	3054	41	2955
24	300	42	3054	56	2955
24	301	57	3054	61	2955
24	302	62	3054	71	2955
24	303	72	3054	81	2955
24	304	82	3054	91	2955
24	305	92	3054	101	2955
24	306	102	3054	111	2955
24	307	112	3054	116	2955
24	308	117	3054	137	2955
24	309	138	3054	138	2955
24	310	139	3054	168	2955
24	311	169	3054	198	2955
