;;transect	Cell	%shelter	%cover	%gravel
1	0	0	1	0
1	1	0.2	0	0.3
1	2	0.2	0	0.25
1	3	0.2	0	0.65
1	4	0.2	0	0.3
1	5	0.2	0	0.35
1	6	0.2	0	0.3
1	7	0.2	0	0.5
1	8	0.2	0	0.4
1	9	0.2	0	0.5
1	10	0.2	0	0.5
1	11	0	1	0
1	12	0	1	0
1	13	0	1	0
1	14	0	1	0
2	15	0	1	0
2	16	0	0	0
2	17	0	0	0
2	18	0	0	0
2	19	0	0	1
2	20	0	0	1
2	21	0	0	0.7
2	22	0	0	0.7
2	23	0.2	0	0.4
2	24	0	1	0
2	25	0	1	0
3	26	0	1	0
3	27	0.2	0	0
3	28	0.3	0	0
3	29	0.2	0	0.5
3	30	0.2	0	0.6
3	31	0.2	0	0.5
3	32	0.2	0	0.45
3	33	0.2	0	0.45
3	34	0.2	0	0.45
3	35	0	1	0
3	36	0	1	0
4	37	0	1	0
4	38	0	1	0
4	39	0	0	0.3
4	40	0.25	0	0
4	41	0.2	0	0.1
4	42	0.2	0	0
4	43	0	0	0
4	44	0	0	0
4	45	0.05	0	0.05
4	46	0.05	0	0.05
4	47	0	1	0
4	48	0	1	0
4	49	0	1	0
4	50	0	1	0
4	51	0	1	0
5	52	0	1	0
5	53	0.2	0	0.3
5	54	0.2	0	0.25
5	55	0.2	0	0.65
5	56	0.2	0	0.3
5	57	0.2	0	0.35
5	58	0.2	0	0.3
5	59	0.2	0	0.5
5	60	0.2	0	0.4
5	61	0.2	0	0.5
5	62	0.2	0	0.5
5	63	0	1	0
5	64	0	1	0
5	65	0	1	0
5	66	0	1	0
6	67	0	1	0
6	68	0	0	0
6	69	0	0	0
6	70	0	0	0
6	71	0	0	1
6	72	0	0	1
6	73	0	0	0.7
6	74	0	0	0.7
6	75	0.2	0	0.4
6	76	0	1	0
6	77	0	1	0
7	78	0	1	0
7	79	0.2	0	0
7	80	0.3	0	0
7	81	0.2	0	0.5
7	82	0.2	0	0.6
7	83	0.2	0	0.5
7	84	0.2	0	0.45
7	85	0.2	0	0.45
7	86	0.2	0	0.45
7	87	0	1	0
7	88	0	1	0
8	89	0	1	0
8	90	0	1	0
8	91	0	0	0.3
8	92	0.25	0	0
8	93	0.2	0	0.1
8	94	0.2	0	0
8	95	0	0	0
8	96	0	0	0
8	97	0.05	0	0.05
8	98	0.05	0	0.05
8	99	0	1	0
8	100	0	1	0
8	101	0	1	0
8	102	0	1	0
8	103	0	1	0
9	104	0	1	0
9	105	0.2	0	0.3
9	106	0.2	0	0.25
9	107	0.2	0	0.65
9	108	0.2	0	0.3
9	109	0.2	0	0.35
9	110	0.2	0	0.3
9	111	0.2	0	0.5
9	112	0.2	0	0.4
9	113	0.2	0	0.5
9	114	0.2	0	0.5
9	115	0	1	0
9	116	0	1	0
9	117	0	1	0
9	118	0	1	0
10	119	0	1	0
10	120	0	0	0
10	121	0	0	0
10	122	0	0	0
10	123	0	0	1
10	124	0	0	1
10	125	0	0	0.7
10	126	0	0	0.7
10	127	0.2	0	0.4
10	128	0	1	0
10	129	0	1	0
11	130	0	1	0
11	131	0.2	0	0
11	132	0.3	0	0
11	133	0.2	0	0.5
11	134	0.2	0	0.6
11	135	0.2	0	0.5
11	136	0.2	0	0.45
11	137	0.2	0	0.45
11	138	0.2	0	0.45
11	139	0	1	0
11	140	0	1	0
12	141	0	1	0
12	142	0	1	0
12	143	0	0	0.3
12	144	0.25	0	0
12	145	0.2	0	0.1
12	146	0.2	0	0
12	147	0	0	0
12	148	0	0	0
12	149	0.05	0	0.05
12	150	0.05	0	0.05
12	151	0	1	0
12	152	0	1	0
12	153	0	1	0
12	154	0	1	0
12	155	0	1	0
